year,month,entry_timestamp,exit_timestamp,entry_price,exit_price,return
2019,7,2019-07-01 13:00:00+00:00,2019-08-01 13:00:00+00:00,369.1493032665098,354.07319403158823,-0.040840140023337024
2019,8,2019-08-01 13:00:00+00:00,2019-09-03 13:00:00+00:00,354.07319403158823,315.7368019770732,-0.1082725060827251
2019,9,2019-09-03 13:00:00+00:00,2019-10-01 13:00:00+00:00,315.7368019770732,332.5358951245573,0.05320600272851306
2019,10,2019-10-01 13:00:00+00:00,2019-11-01 13:00:00+00:00,332.5358951245573,335.120370993401,0.007772020725388629
2020,6,2020-06-01 13:00:00+00:00,2020-07-01 13:00:00+00:00,260.1276672024326,281.1028184640619,0.08063406513889326
2020,7,2020-07-01 13:00:00+00:00,2020-08-03 13:00:00+00:00,281.1028184640619,257.513770760784,-0.08391608391608385
2020,8,2020-08-03 13:00:00+00:00,2020-09-01 13:00:00+00:00,257.513770760784,278.3507628986795,0.08091603053435104
2020,9,2020-09-01 13:00:00+00:00,2020-10-01 13:00:00+00:00,278.3507628986795,300.5637828192662,0.07980225988700562
2020,10,2020-10-01 13:00:00+00:00,2020-11-02 14:00:00+00:00,300.5637828192662,309.0165249129408,0.028122956180510084
2021,6,2021-06-01 13:00:00+00:00,2021-07-01 13:00:00+00:00,539.559488159482,551.0010227810924,0.021205325590027302
2021,7,2021-07-01 13:00:00+00:00,2021-08-02 13:00:00+00:00,551.0010227810924,494.9708652566256,-0.1016879374228078
2021,8,2021-08-02 13:00:00+00:00,2021-09-01 13:00:00+00:00,494.9708652566256,479.7724014746853,-0.030705774518789863
2021,9,2021-09-01 13:00:00+00:00,2021-10-01 13:00:00+00:00,479.7724014746853,489.2997966812747,0.0198581560283686
2021,10,2021-10-01 13:00:00+00:00,2021-11-01 13:00:00+00:00,489.2997966812747,519.0161960161133,0.06073249884098275
2022,6,2022-06-01 13:00:00+00:00,2022-07-01 13:00:00+00:00,678.0818785256239,591.7762256838281,-0.12727910238429174
2022,7,2022-07-01 13:00:00+00:00,2022-08-01 13:00:00+00:00,591.7762256838281,572.9934527513161,-0.03173965447971072
2022,8,2022-08-01 13:00:00+00:00,2022-09-01 13:00:00+00:00,572.9934527513161,630.0550414070489,0.09958506224066399
2022,9,2022-09-01 13:00:00+00:00,2022-10-03 13:00:00+00:00,630.0550414070489,652.4041636305441,0.03547169811320727
2022,10,2022-10-03 13:00:00+00:00,2022-11-01 13:00:00+00:00,652.4041636305441,656.4460261603252,0.006195335276968139
2023,6,2023-06-01 13:00:00+00:00,2023-07-03 13:00:00+00:00,601.8343319842184,551.9002319671866,-0.08296984296725218
2023,7,2023-07-03 13:00:00+00:00,2023-08-01 13:00:00+00:00,551.9002319671866,564.6193755896769,0.023046092184368705
2023,8,2023-08-01 13:00:00+00:00,2023-09-01 13:00:00+00:00,564.6193755896769,535.3100446335036,-0.05190989226248788
2023,9,2023-09-01 13:00:00+00:00,2023-10-02 13:00:00+00:00,535.3100446335036,529.5034790667146,-0.010847107438016423
2023,10,2023-10-02 13:00:00+00:00,2023-11-01 13:00:00+00:00,529.5034790667146,530.0564853111707,0.001044386422976551
2024,6,2024-06-03 13:00:00+00:00,2024-07-01 13:00:00+00:00,453.976850297313,405.0758878996331,-0.10771686346044795
2024,7,2024-07-01 13:00:00+00:00,2024-08-01 13:00:00+00:00,405.0758878996331,386.1561757701891,-0.04670658682634732
2024,8,2024-08-01 13:00:00+00:00,2024-09-03 13:00:00+00:00,386.1561757701891,389.3094611250965,0.00816582914572872
2024,9,2024-09-03 13:00:00+00:00,2024-10-01 13:00:00+00:00,389.3094611250965,410.8973377856158,0.05545171339563848
2024,10,2024-10-01 13:00:00+00:00,2024-11-01 13:00:00+00:00,410.8973377856158,401.1949213089779,-0.023612750885478095
2025,6,2025-06-02 13:00:00+00:00,2025-07-01 13:00:00+00:00,405.7959779385915,367.88250702203993,-0.09342988343341574
2025,7,2025-07-01 13:00:00+00:00,2025-08-01 13:00:00+00:00,367.88250702203993,363.7070185910849,-0.011350059737156526
2025,8,2025-08-01 13:00:00+00:00,2025-09-02 13:00:00+00:00,363.7070185910849,366.1244066300589,0.0066465256797585415
2025,9,2025-09-02 13:00:00+00:00,2025-10-01 13:00:00+00:00,366.1244066300589,362.82796839509433,-0.009003601440576325
2025,10,2025-10-01 13:00:00+00:00,2025-11-03 14:00:00+00:00,362.82796839509433,379.74968466791216,0.04663840096910965
